student,teacher,split,n_known,n_unknown,spearman_energy,spearman_energy_unknown,spearman_msp,spearman_msp_unknown,top1_agreement_known,error_jaccard_known,start,condition,seed,weeks_since
student_directTS_s1,A,val,200000,53779,0.5209166084641249,0.7101503007578879,0.7690342536010218,0.5656790559446625,0.95171,0.36092027480428185,11,directTS,1,1.0
student_directTS_s1,B,val,200000,53779,0.47344066356995634,0.634739860697392,0.691504939007713,0.471760146524547,0.9494,0.34314808967477106,11,directTS,1,1.0
student_ls_s1,A,val,200000,53779,0.6672397351504691,0.6854009824710007,0.7586414901873023,0.5669289215108175,0.9462,0.3342901302715831,11,ls,1,1.0
student_ls_s1,B,val,200000,53779,0.6017035853429356,0.6019219291462801,0.6819603369410197,0.43317392624034445,0.943705,0.3165624545586738,11,ls,1,1.0
student_kdA_s1,A,val,200000,53779,0.4969572259771754,0.6836531008751076,0.7535404762661927,0.5799302603143411,0.952775,0.36926438455935906,11,kdA,1,1.0
student_kdA_s1,B,val,200000,53779,0.45196613900873905,0.6020679800098458,0.6758237847252242,0.47711635231079513,0.95002,0.34685582210887067,11,kdA,1,1.0
student_kdB_s1,A,val,200000,53779,0.5044250046789212,0.6736628435246483,0.7562126650170653,0.5466048266994633,0.95243,0.36595573440643864,11,kdB,1,1.0
student_kdB_s1,B,val,200000,53779,0.4547620191148603,0.5920102127431298,0.6781783625466201,0.46012499736484647,0.949945,0.34542424001904914,11,kdB,1,1.0
student_enddA_s1,A,val,200000,53779,0.7411271112800584,0.5485001012894491,0.814003317737001,0.5017871396514647,0.946075,0.3413818722139673,11,enddA,1,1.0
student_enddA_s1,B,val,200000,53779,0.7083348657288576,0.4914170353503868,0.7529647015063275,0.4101707267157348,0.94362,0.32281962884178095,11,enddA,1,1.0
student_direct_s2,A,val,200000,53779,0.49639948078647106,0.6791326861462641,0.7638223895462027,0.5577229011637037,0.951465,0.35837555414819505,11,direct,2,1.0
student_direct_s2,B,val,200000,53779,0.4543214624067114,0.6013340108474183,0.6871158238170533,0.46538730316400406,0.948665,0.337026057107193,11,direct,2,1.0
student_directTS_s2,A,val,200000,53779,0.4955988191487615,0.6778831651154876,0.7639507733613159,0.5614347148513481,0.951465,0.35837555414819505,11,directTS,2,1.0
student_directTS_s2,B,val,200000,53779,0.453413689571573,0.599861793438127,0.6870902939737643,0.4682622538332093,0.948665,0.337026057107193,11,directTS,2,1.0
student_ls_s2,A,val,200000,53779,0.6755357481556462,0.6515843086847876,0.7811887688888272,0.5829659512982339,0.94628,0.3332351424994477,11,ls,2,1.0
student_ls_s2,B,val,200000,53779,0.6201889124046798,0.5805135223186821,0.7101836937006566,0.4488145000430465,0.943635,0.3145536493166618,11,ls,2,1.0
student_kdA_s2,A,val,200000,53779,0.49579589622026277,0.6984119620614179,0.7578538061109635,0.5432101727426222,0.952145,0.3634835507884415,11,kdA,2,1.0
student_kdA_s2,B,val,200000,53779,0.4448048845530086,0.6209680801415299,0.6776335512555821,0.4540132620045199,0.949535,0.3422485207100592,11,kdA,2,1.0
student_kdB_s2,A,val,200000,53779,0.49105029580408566,0.7111345003672271,0.7530043126973116,0.5495638080572731,0.951295,0.35746427725586166,11,kdB,2,1.0
student_kdB_s2,B,val,200000,53779,0.44150923318049207,0.6317438061737226,0.6709340949960174,0.45038931662076365,0.949285,0.3427677873338546,11,kdB,2,1.0
student_enddA_s2,A,val,200000,53779,0.7299125316501432,0.5957872145373188,0.8055853138062523,0.5708050991912267,0.945925,0.33917043852489426,11,enddA,2,1.0
student_enddA_s2,B,val,200000,53779,0.698946014827387,0.53958953483238,0.7423128167078755,0.4545500083070099,0.943405,0.32007908611599295,11,enddA,2,1.0
