[08:52:00] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[08:52:03] Teacher A targets at T in [1.0, 2.0, 4.0]
[09:44:18] ls_0.1: macro-F1 0.8876 (epoch 9)
[09:44:42] ls_0.2 epoch 1/10: train_loss=2.576, seconds=23.2, val_loss=0.819, val_macro_f1=0.7476
[09:45:06] ls_0.2 epoch 2/10: train_loss=1.887, seconds=23.5, val_loss=0.7029, val_macro_f1=0.8187
[09:45:32] ls_0.2 epoch 3/10: train_loss=1.817, seconds=24.9, val_loss=0.669, val_macro_f1=0.8453
[09:45:58] ls_0.2 epoch 4/10: train_loss=1.783, seconds=26.1, val_loss=0.6085, val_macro_f1=0.8527
[09:46:35] ls_0.2 epoch 5/10: train_loss=1.761, seconds=36.1, val_loss=0.5523, val_macro_f1=0.8648
[09:47:08] ls_0.2 epoch 6/10: train_loss=1.743, seconds=32.6, val_loss=0.57, val_macro_f1=0.87
[09:47:34] ls_0.2 epoch 7/10: train_loss=1.729, seconds=25, val_loss=0.5489, val_macro_f1=0.8732
[09:47:58] ls_0.2 epoch 8/10: train_loss=1.718, seconds=24, val_loss=0.5288, val_macro_f1=0.8782
[09:48:24] ls_0.2 epoch 9/10: train_loss=1.711, seconds=25.3, val_loss=0.5358, val_macro_f1=0.8794
[09:48:49] ls_0.2 epoch 10/10: train_loss=1.707, seconds=24.5, val_loss=0.5361, val_macro_f1=0.879
[09:48:49] ls_0.2: macro-F1 0.8782 (epoch 8)
[09:48:50] Selected: {'kd_temperature': 1.0, 'kd_alpha': 0.9, 'label_smoothing': 0.05}
[09:49:12] direct_long epoch 1/20: train_loss=1.852, seconds=22.2, val_loss=0.682, val_macro_f1=0.7139
[09:49:34] direct_long epoch 2/20: train_loss=0.5512, seconds=21.4, val_loss=0.4326, val_macro_f1=0.8276
[09:49:56] direct_long epoch 3/20: train_loss=0.4061, seconds=21.6, val_loss=0.366, val_macro_f1=0.8513
[09:50:20] direct_long epoch 4/20: train_loss=0.35, seconds=23.1, val_loss=0.3354, val_macro_f1=0.8656
[09:50:42] direct_long epoch 5/20: train_loss=0.317, seconds=21.8, val_loss=0.307, val_macro_f1=0.8747
[09:51:05] direct_long epoch 6/20: train_loss=0.2941, seconds=22, val_loss=0.284, val_macro_f1=0.8826
[09:51:28] direct_long epoch 7/20: train_loss=0.2754, seconds=22.7, val_loss=0.2758, val_macro_f1=0.8862
[09:51:54] direct_long epoch 8/20: train_loss=0.2614, seconds=25.3, val_loss=0.2594, val_macro_f1=0.8928
[09:52:18] direct_long epoch 9/20: train_loss=0.2489, seconds=23.5, val_loss=0.2508, val_macro_f1=0.8973
[09:52:42] direct_long epoch 10/20: train_loss=0.2378, seconds=24.1, val_loss=0.2422, val_macro_f1=0.9011
[09:53:05] direct_long epoch 11/20: train_loss=0.2278, seconds=21.9, val_loss=0.2352, val_macro_f1=0.905
[09:53:27] direct_long epoch 12/20: train_loss=0.2191, seconds=21.6, val_loss=0.2285, val_macro_f1=0.9059
[09:53:50] direct_long epoch 13/20: train_loss=0.2104, seconds=22.5, val_loss=0.2263, val_macro_f1=0.9082
[09:54:12] direct_long epoch 14/20: train_loss=0.2037, seconds=22.1, val_loss=0.2215, val_macro_f1=0.9082
[09:54:34] direct_long epoch 15/20: train_loss=0.1972, seconds=21.6, val_loss=0.214, val_macro_f1=0.9123
[09:54:57] direct_long epoch 16/20: train_loss=0.1918, seconds=22, val_loss=0.2116, val_macro_f1=0.9129
[09:55:19] direct_long epoch 17/20: train_loss=0.1871, seconds=22, val_loss=0.2093, val_macro_f1=0.9137
[09:55:42] direct_long epoch 18/20: train_loss=0.1835, seconds=22.1, val_loss=0.2075, val_macro_f1=0.9145
[09:56:02] direct_long epoch 19/20: train_loss=0.1812, seconds=19.7, val_loss=0.2068, val_macro_f1=0.915
[09:56:25] direct_long epoch 20/20: train_loss=0.1801, seconds=22.9, val_loss=0.2068, val_macro_f1=0.9145
[09:56:25] direct_long: macro-F1 0.9150 (epoch 19)
[09:56:57] kdA_T1_a0.9_long epoch 1/20: train_loss=1.803, seconds=25.1, val_loss=0.6667, val_macro_f1=0.7166
