score,comparison,kind,estimate,ci_low,ci_high,p_one_sided,n_boot,units_used,units
maha,kdB4 - direct student,student,0.053147243027771136,0.05055189184044328,0.05055189184044328,0.5,1,18,18
maha,kdF - direct student,student,0.01365977316851853,0.01341342643713099,0.01341342643713099,0.5,1,9,9
maha,kdM0 - direct student,student,0.07757812787407407,0.07584546950498733,0.07584546950498733,0.5,1,9,9
maha,kdM1 - direct student,student,0.07052985408703703,0.06903341691184951,0.06903341691184951,0.5,1,9,9
maha,ls - direct student,student,0.08760890705851455,0.08279944461399237,0.08279944461399237,0.5,1,18,18
knnfeat,teacherA - direct student,teacher,0.0338059494100952,0.034158710852883384,0.034158710852883384,0.5,1,18,18
knnfeat,teacherB - direct student,teacher,0.025851272481694613,0.02641523633447265,0.02641523633447265,0.5,1,18,18
knnfeat,enddA - direct student,student,0.04403896943821094,0.044680503733247695,0.044680503733247695,0.5,1,18,18
knnfeat,hardA - direct student,student,0.01691721701851852,0.016446165191580042,0.016446165191580042,0.5,1,9,9
knnfeat,kdA - direct student,student,0.001128439379389137,0.000321661946201691,0.000321661946201691,0.5,1,18,18
knnfeat,kdA4 - direct student,student,0.026062825116279924,0.025620995599929433,0.025620995599929433,0.5,1,18,18
knnfeat,kdB - direct student,student,0.002574563654943039,0.0020891318408163867,0.0020891318408163867,0.5,1,18,18
knnfeat,kdB4 - direct student,student,0.008590052097340496,0.00803039740879961,0.00803039740879961,0.5,1,18,18
knnfeat,kdF - direct student,student,0.017563393061111116,0.017089603061770306,0.017089603061770306,0.5,1,9,9
knnfeat,kdM0 - direct student,student,0.02696606678518518,0.025474098931305852,0.025474098931305852,0.5,1,9,9
knnfeat,kdM1 - direct student,student,0.021990549462962958,0.020704106042035614,0.020704106042035614,0.5,1,9,9
knnfeat,ls - direct student,student,0.042636872663739854,0.04102361824435965,0.04102361824435965,0.5,1,18,18
energy,ls - kdA4,pair,0.004377625292731776,0.006779310338763152,0.006779310338763152,0.5,1,18,18
msp,ls - kdA4,pair,0.020219015456674615,0.020359401179626636,0.020359401179626636,0.5,1,18,18
maha,ls - kdA4,pair,0.011295313112616081,0.00936566723086052,0.00936566723086052,0.5,1,18,18
knnfeat,ls - kdA4,pair,0.016574047547459923,0.015402622644430208,0.015402622644430208,0.5,1,18,18
energy,enddA - kdA,pair,-0.09200906279837302,-0.09349633044393005,-0.09349633044393005,1.0,1,18,18
msp,enddA - kdA,pair,-0.007572013681195798,-0.007807012793229908,-0.007807012793229908,1.0,1,18,18
maha,enddA - kdA,pair,0.07689045205160101,0.07681165302578598,0.07681165302578598,0.5,1,18,18
knnfeat,enddA - kdA,pair,0.042910530058821804,0.04435884178704601,0.04435884178704601,0.5,1,18,18
energy,kdA4 - kdA,pair,-0.025355099084055727,-0.025370734394416724,-0.025370734394416724,1.0,1,18,18
msp,kdA4 - kdA,pair,-0.026433080716676764,-0.026717518595154928,-0.026717518595154928,1.0,1,18,18
maha,kdA4 - kdA,pair,0.07936372702805344,0.07786682606842452,0.07786682606842452,0.5,1,18,18
knnfeat,kdA4 - kdA,pair,0.024934385736890788,0.025299333653727742,0.025299333653727742,0.5,1,18,18
energy,hardA - kdA4,pair,0.023324111102743787,0.02351613325432779,0.02351613325432779,0.5,1,18,18
msp,hardA - kdA4,pair,0.024571710477254823,0.024214400689004188,0.024214400689004188,0.5,1,18,18
maha,hardA - kdA4,pair,-0.06468299757407409,-0.06315135984086258,-0.06315135984086258,1.0,1,9,9
knnfeat,hardA - kdA4,pair,-0.011471471322222225,-0.010620634390455904,-0.010620634390455904,1.0,1,9,9
