[14:00:53] Run directory: C:\Users\Mahmoud\OneDrive\Desktop\Knowledge Distillation\results\track_a\20260916-140053_S_train11-14; device cuda; start week 11
[14:40:01] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[14:40:03] Evaluation sets: val (253,779)
[14:40:04] Loaded teacherA_0 from results\pilot\20260916-122627_S_train11-14\models\teacher_0.pt
[14:40:04] Loaded teacherA_1 from results\pilot\20260916-122627_S_train11-14\models\teacher_1.pt
[14:40:04] Loaded teacherA_2 from results\pilot\20260916-122627_S_train11-14\models\teacher_2.pt
[14:40:05] Loaded teacherA_3 from results\pilot\20260916-122627_S_train11-14\models\teacher_3.pt
[14:40:05] Loaded teacherA_4 from results\pilot\20260916-122627_S_train11-14\models\teacher_4.pt
[15:49:09] student_kdB_s1 epoch 7/10: train_loss=2.84, seconds=15.2, val_loss=0.4322, val_macro_f1=0.8779
[15:49:24] student_kdB_s1 epoch 8/10: train_loss=2.726, seconds=14.8, val_loss=0.4188, val_macro_f1=0.8799
[15:49:39] student_kdB_s1 epoch 9/10: train_loss=2.653, seconds=14.2, val_loss=0.4129, val_macro_f1=0.881
[15:49:52] student_kdB_s1 epoch 10/10: train_loss=2.614, seconds=13.6, val_loss=0.4118, val_macro_f1=0.8806
[15:49:59] Training student_enddA_s1 (student, 101,190 parameters, seed 1010)
[15:50:15] student_enddA_s1 epoch 1/10: train_loss=1.42e+04, seconds=14.9, val_loss=0.5769, val_macro_f1=0.7685
[15:50:30] student_enddA_s1 epoch 2/10: train_loss=3351, seconds=14.9, val_loss=0.4267, val_macro_f1=0.8378
[15:50:46] student_enddA_s1 epoch 3/10: train_loss=2531, seconds=16.2, val_loss=0.3773, val_macro_f1=0.8581
[15:51:02] student_enddA_s1 epoch 4/10: train_loss=2153, seconds=14.9, val_loss=0.3497, val_macro_f1=0.8682
[15:51:19] student_enddA_s1 epoch 5/10: train_loss=1908, seconds=16.7, val_loss=0.3264, val_macro_f1=0.8785
[15:51:35] student_enddA_s1 epoch 6/10: train_loss=1725, seconds=15.4, val_loss=0.314, val_macro_f1=0.8832
[15:51:49] student_enddA_s1 epoch 7/10: train_loss=1576, seconds=14.2, val_loss=0.2993, val_macro_f1=0.8884
[15:52:04] student_enddA_s1 epoch 8/10: train_loss=1466, seconds=14.3, val_loss=0.2899, val_macro_f1=0.8912
[15:52:19] student_enddA_s1 epoch 9/10: train_loss=1393, seconds=14.4, val_loss=0.2855, val_macro_f1=0.8927
[15:52:35] student_enddA_s1 epoch 10/10: train_loss=1355, seconds=16.2, val_loss=0.2847, val_macro_f1=0.8932
[15:52:43] Training student_direct_s2 (student, 101,190 parameters, seed 1020)
[15:52:57] student_direct_s2 epoch 1/10: train_loss=1.535, seconds=13.3, val_loss=0.5429, val_macro_f1=0.7711
[15:53:10] student_direct_s2 epoch 2/10: train_loss=0.4718, seconds=12.5, val_loss=0.4079, val_macro_f1=0.8364
[15:53:22] student_direct_s2 epoch 3/10: train_loss=0.3772, seconds=12.3, val_loss=0.3569, val_macro_f1=0.8534
[15:53:35] student_direct_s2 epoch 4/10: train_loss=0.3325, seconds=12.7, val_loss=0.3199, val_macro_f1=0.8707
[15:53:48] student_direct_s2 epoch 5/10: train_loss=0.3015, seconds=12.5, val_loss=0.2917, val_macro_f1=0.882
[15:54:01] student_direct_s2 epoch 6/10: train_loss=0.2778, seconds=12.5, val_loss=0.2777, val_macro_f1=0.8884
[15:54:15] student_direct_s2 epoch 7/10: train_loss=0.2582, seconds=13, val_loss=0.264, val_macro_f1=0.8927
[15:54:27] student_direct_s2 epoch 8/10: train_loss=0.2429, seconds=12.1, val_loss=0.2512, val_macro_f1=0.8991
[15:54:40] student_direct_s2 epoch 9/10: train_loss=0.2319, seconds=12.2, val_loss=0.247, val_macro_f1=0.8995
[15:54:53] student_direct_s2 epoch 10/10: train_loss=0.2264, seconds=12.8, val_loss=0.2455, val_macro_f1=0.9004
[15:55:04] Training student_ls_s2 (student, 101,190 parameters, seed 1020)
