[23:41:57] KD settings: T=4, alpha=0.9; student epochs 20, teacher epochs 10
[00:11:35] teacheronly_kd_rho0_s0 epoch 18/20: train_loss=2.041, seconds=10.8, val_loss=0.3206, val_macro_f1=0.8933
[00:11:47] teacheronly_kd_rho0_s0 epoch 19/20: train_loss=2.03, seconds=11, val_loss=0.3194, val_macro_f1=0.8936
[00:11:58] teacheronly_kd_rho0_s0 epoch 20/20: train_loss=2.024, seconds=10.7, val_loss=0.3194, val_macro_f1=0.8935
[00:12:31] rho=0 seed=0: teacher drop=0.000, student_both_direct drop=-0.000, student_both_kd drop=-0.000
[00:13:56] teacher_rho0.5_s0 epoch 1/10: train_loss=0.702, seconds=82.3, val_loss=0.2576, val_macro_f1=0.8905
[00:15:21] teacher_rho0.5_s0 epoch 2/10: train_loss=0.2094, seconds=82.4, val_loss=0.1728, val_macro_f1=0.9221
[00:16:46] teacher_rho0.5_s0 epoch 3/10: train_loss=0.1567, seconds=82.3, val_loss=0.1512, val_macro_f1=0.9338
[00:18:11] teacher_rho0.5_s0 epoch 4/10: train_loss=0.1288, seconds=82.3, val_loss=0.1374, val_macro_f1=0.9388
[00:19:36] teacher_rho0.5_s0 epoch 5/10: train_loss=0.1068, seconds=82.3, val_loss=0.1178, val_macro_f1=0.9486
[00:21:01] teacher_rho0.5_s0 epoch 6/10: train_loss=0.086, seconds=82.3, val_loss=0.1045, val_macro_f1=0.9538
[00:22:26] teacher_rho0.5_s0 epoch 7/10: train_loss=0.06744, seconds=82.3, val_loss=0.09807, val_macro_f1=0.9575
[00:23:51] teacher_rho0.5_s0 epoch 8/10: train_loss=0.05192, seconds=82.2, val_loss=0.09076, val_macro_f1=0.9608
[00:25:16] teacher_rho0.5_s0 epoch 9/10: train_loss=0.04046, seconds=82.2, val_loss=0.08839, val_macro_f1=0.9629
[00:26:41] teacher_rho0.5_s0 epoch 10/10: train_loss=0.0346, seconds=82.2, val_loss=0.0879, val_macro_f1=0.963
[00:27:18] both_direct_rho0.5_s0 epoch 1/20: train_loss=1.803, seconds=10.2, val_loss=0.5883, val_macro_f1=0.7465
[00:27:29] both_direct_rho0.5_s0 epoch 2/20: train_loss=0.4838, seconds=10.2, val_loss=0.3792, val_macro_f1=0.8456
[00:27:40] both_direct_rho0.5_s0 epoch 3/20: train_loss=0.3591, seconds=10.2, val_loss=0.3244, val_macro_f1=0.8677
[00:27:50] both_direct_rho0.5_s0 epoch 4/20: train_loss=0.3095, seconds=10.2, val_loss=0.289, val_macro_f1=0.8819
[00:28:01] both_direct_rho0.5_s0 epoch 5/20: train_loss=0.2797, seconds=10.2, val_loss=0.2648, val_macro_f1=0.8897
[00:28:11] both_direct_rho0.5_s0 epoch 6/20: train_loss=0.2591, seconds=10.2, val_loss=0.2515, val_macro_f1=0.894
[00:28:22] both_direct_rho0.5_s0 epoch 7/20: train_loss=0.2429, seconds=10.2, val_loss=0.2397, val_macro_f1=0.8989
[00:28:32] both_direct_rho0.5_s0 epoch 8/20: train_loss=0.2296, seconds=10.2, val_loss=0.231, val_macro_f1=0.9011
[00:28:43] both_direct_rho0.5_s0 epoch 9/20: train_loss=0.2179, seconds=10.2, val_loss=0.2205, val_macro_f1=0.9062
[00:28:54] both_direct_rho0.5_s0 epoch 10/20: train_loss=0.2081, seconds=10.2, val_loss=0.2141, val_macro_f1=0.9101
[00:29:04] both_direct_rho0.5_s0 epoch 11/20: train_loss=0.1996, seconds=10.2, val_loss=0.2074, val_macro_f1=0.9124
[00:29:15] both_direct_rho0.5_s0 epoch 12/20: train_loss=0.1908, seconds=10.2, val_loss=0.203, val_macro_f1=0.9153
[00:29:25] both_direct_rho0.5_s0 epoch 13/20: train_loss=0.1834, seconds=10.2, val_loss=0.1942, val_macro_f1=0.9181
[00:29:36] both_direct_rho0.5_s0 epoch 14/20: train_loss=0.1767, seconds=10.2, val_loss=0.1942, val_macro_f1=0.9191
[00:29:47] both_direct_rho0.5_s0 epoch 15/20: train_loss=0.1706, seconds=10.2, val_loss=0.1868, val_macro_f1=0.9219
[00:29:57] both_direct_rho0.5_s0 epoch 16/20: train_loss=0.1655, seconds=10.2, val_loss=0.1836, val_macro_f1=0.923
[00:30:08] both_direct_rho0.5_s0 epoch 17/20: train_loss=0.1614, seconds=10.4, val_loss=0.1827, val_macro_f1=0.9232
[00:30:18] both_direct_rho0.5_s0 epoch 18/20: train_loss=0.1581, seconds=10.2, val_loss=0.1809, val_macro_f1=0.9236
[00:30:29] both_direct_rho0.5_s0 epoch 19/20: train_loss=0.1557, seconds=10.2, val_loss=0.18, val_macro_f1=0.9238
[00:30:40] both_direct_rho0.5_s0 epoch 20/20: train_loss=0.1546, seconds=10.2, val_loss=0.18, val_macro_f1=0.9243
[00:30:51] both_kd_rho0.5_s0 epoch 1/20: train_loss=18.95, seconds=10.8, val_loss=0.8798, val_macro_f1=0.707
[00:31:02] both_kd_rho0.5_s0 epoch 2/20: train_loss=4.708, seconds=10.9, val_loss=0.5033, val_macro_f1=0.8307
[00:31:14] both_kd_rho0.5_s0 epoch 3/20: train_loss=3.359, seconds=10.9, val_loss=0.4171, val_macro_f1=0.8615
[00:31:25] both_kd_rho0.5_s0 epoch 4/20: train_loss=2.89, seconds=10.8, val_loss=0.3767, val_macro_f1=0.8748
[00:31:36] both_kd_rho0.5_s0 epoch 5/20: train_loss=2.641, seconds=10.8, val_loss=0.3492, val_macro_f1=0.8834
