model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_msp,fpr95_msp,oscr_msp,auroc_energy,fpr95_energy,oscr_energy,ece,nll,brier,aurc,ece_ts,nll_ts,rho,seed,setting
teacher,val,ge5,far,1.3511733525815217,191366,41787,0.9706844476030225,0.9579998208607478,0.911845003865076,0.552181300404432,0.9030635239192368,0.8441109169306024,0.5939885610357288,0.8327416100426608,0.009694824441587636,0.10218764841556549,0.042938132977436975,0.0011561463356603529,0.001575190800914081,0.09490230679512024,0.5,0,both
student_both_direct,val,all,all,1.124897103633789,200000,53779,0.92762,0.8959522056679268,0.8537861724836833,0.7518920024544896,0.8297927115602743,0.8177906782852044,0.7835214488926905,0.7886682685620782,0.006786920799762052,0.25335103273391724,0.10253866480343617,0.006100702318731958,0.005411964686960019,0.25078463554382324,0.5,0,both
student_both_direct,val,all,near,1.124897103633789,200000,10959,0.92762,0.8959522056679268,0.8325662608358427,0.7353773154484898,0.8078847791769321,0.7519178602062231,0.7771694497673145,0.7257447431334976,0.006786920799762052,0.25335103273391724,0.10253866480343617,0.006100702318731958,0.005411964686960019,0.25078463554382324,0.5,0,both
student_both_direct,val,all,far,1.124897103633789,200000,42820,0.92762,0.8959522056679268,0.8592170228281176,0.7561186361513311,0.8353996482951893,0.8346496276856609,0.7851471275105091,0.804772400163475,0.006786920799762052,0.25335103273391724,0.10253866480343617,0.006100702318731958,0.005411964686960019,0.25078463554382324,0.5,0,both
student_both_direct,val,ge5,all,1.124897103633789,191366,52270,0.9384164376116969,0.9080941565520783,0.8671696640827853,0.7101396594604936,0.8460572372692439,0.8351198591082123,0.7360436196671131,0.8087868698246241,0.005499693696890331,0.2122030258178711,0.0881253960761146,0.004699065538380472,0.004989628969415118,0.21023845672607422,0.5,0,both
student_both_direct,val,ge5,near,1.124897103633789,191366,10483,0.9384164376116969,0.9080941565520783,0.8430418259675715,0.6945530859486788,0.8214014472686277,0.7671680018400453,0.7342363827148717,0.7433969617684777,0.005499693696890331,0.2122030258178711,0.0881253960761146,0.004699065538380472,0.004989628969415118,0.21023845672607422,0.5,0,both
student_both_direct,val,ge5,far,1.124897103633789,191366,41787,0.9384164376116969,0.9080941565520783,0.8732225543826819,0.7140498241079761,0.8522425735359407,0.8521667712996163,0.7364969966736066,0.8251910722357227,0.005499693696890331,0.2122030258178711,0.0881253960761146,0.004699065538380472,0.004989628969415118,0.21023845672607422,0.5,0,both
student_both_kd,val,all,all,1.7367950711172246,200000,53779,0.917055,0.8804907507845451,0.8389574919113407,0.7634020714405251,0.8111009918369624,0.8145972592926607,0.737388199854962,0.7820559937893973,0.042903754928037496,0.35792168974876404,0.1254762838844105,0.0075573334129644225,0.006551012925617358,0.28709280490875244,0.5,0,both
student_both_kd,val,all,near,1.7367950711172246,200000,10959,0.917055,0.8804907507845451,0.8255063664567935,0.7682270280135048,0.7982494648234328,0.7779350015968611,0.7821881558536363,0.7486474842595128,0.042903754928037496,0.35792168974876404,0.1254762838844105,0.0075573334129644225,0.006551012925617358,0.28709280490875244,0.5,0,both
student_both_kd,val,all,far,1.7367950711172246,200000,42820,0.917055,0.8804907507845451,0.8424000627627276,0.7621672115833723,0.8143901063755254,0.8239802971742176,0.725922466137319,0.7906062940214853,0.042903754928037496,0.35792168974876404,0.1254762838844105,0.0075573334129644225,0.006551012925617358,0.28709280490875244,0.5,0,both
student_both_kd,val,ge5,all,1.7367950711172246,191366,52270,0.929773313963818,0.8933138432194649,0.851369259787578,0.7320834130476372,0.8273890541094879,0.829391517880068,0.679146738090683,0.7999602827269204,0.03628885210267116,0.2988608777523041,0.10695591704307843,0.005780291888034859,0.005775128194558048,0.23944184184074402,0.5,0,both
student_both_kd,val,ge5,near,1.7367950711172246,191366,10483,0.929773313963818,0.8933138432194649,0.8357007828789206,0.7366211962224554,0.8124592049040389,0.7911136572273587,0.7266049794906039,0.7646284332943747,0.03628885210267116,0.2988608777523041,0.10695591704307843,0.005780291888034859,0.005775128194558048,0.23944184184074402,0.5,0,both
student_both_kd,val,ge5,far,1.7367950711172246,191366,41787,0.929773313963818,0.8933138432194649,0.8552999713350321,0.7309450307511905,0.8311344679755402,0.8389941888835463,0.6672410079689856,0.8088238952763109,0.03628885210267116,0.2988608777523041,0.10695591704307843,0.005780291888034859,0.005775128194558048,0.23944184184074402,0.5,0,both
student_teacheronly_kd,val,all,all,1.7916123231668182,200000,53779,0.926905,0.8934996232399443,0.8421042567730899,0.7586790382863199,0.8195303215009575,0.8001081053478123,0.728072295877573,0.7737109918369625,0.0392191463070735,0.32514384388923645,0.11160242287769631,0.005795721055663546,0.006254291944950807,0.2547854781150818,0.5,0,teacher_only
student_teacheronly_kd,val,all,near,1.7916123231668182,200000,10959,0.926905,0.8934996232399443,0.8387175921616936,0.75134592572315,0.8160369331143353,0.7885706656629254,0.7647595583538644,0.7640411670772881,0.0392191463070735,0.32514384388923645,0.11160242287769631,0.005795721055663546,0.006254291944950807,0.2547854781150818,0.5,0,teacher_only
student_teacheronly_kd,val,all,far,1.7916123231668182,200000,42820,0.926905,0.8934996232399443,0.8429710119687063,0.760555815039701,0.8204243907052781,0.8030609031410556,0.718682858477347,0.7761858075665578,0.0392191463070735,0.32514384388923645,0.11160242287769631,0.005795721055663546,0.006254291944950807,0.2547854781150818,0.5,0,teacher_only
student_teacheronly_kd,val,ge5,all,1.7916123231668182,191366,52270,0.9384477911436724,0.9058585717870428,0.85353854955146,0.7258274344748422,0.8345245081517894,0.8133418944444647,0.6833556533384351,0.7895697416250425,0.032992832697559274,0.2688151001930237,0.09431925055621487,0.004359762739201243,0.005215674616517058,0.21025356650352478,0.5,0,teacher_only
student_teacheronly_kd,val,ge5,near,1.7916123231668182,191366,10483,0.9384477911436724,0.9058585717870428,0.8482262858626659,0.7241247734427168,0.8293882453549893,0.8010406227193287,0.7209768196127063,0.7789515799028213,0.032992832697559274,0.2688151001930237,0.09431925055621487,0.004359762739201243,0.005215674616517058,0.21025356650352478,0.5,0,teacher_only
student_teacheronly_kd,val,ge5,far,1.7916123231668182,191366,41787,0.9384477911436724,0.9058585717870428,0.8548712238341227,0.7262545767822528,0.8358130295316171,0.8164278836634705,0.6739177256084428,0.792233493254354,0.032992832697559274,0.2688151001930237,0.09431925055621487,0.004359762739201243,0.005215674616517058,0.21025356650352478,0.5,0,teacher_only
teacher,val,all,all,1.576167000749044,200000,53779,0.934645,0.9043403152885302,0.8759392364584688,0.6871455400807006,0.8501133527027278,0.8467109981591328,0.663976645158891,0.8165772721694341,0.031103047697544073,0.2518693208694458,0.10030845988780336,0.005635579923134725,0.003941534046456241,0.21481472253799438,0.9,0,both
teacher,val,all,near,1.576167000749044,200000,10959,0.934645,0.9043403152885302,0.8423726277488822,0.714207500684369,0.8188471480062051,0.8181352780819418,0.691303951090428,0.7900372360616845,0.031103047697544073,0.2518693208694458,0.10030845988780336,0.005635579923134725,0.003941534046456241,0.21481472253799438,0.9,0,both
teacher,val,all,far,1.576167000749044,200000,42820,0.934645,0.9043403152885302,0.8845299992993928,0.6802195235871088,0.8581153689864549,0.8540244338510041,0.6569827183559085,0.8233697115833721,0.031103047697544073,0.2518693208694458,0.10030845988780336,0.005635579923134725,0.003941534046456241,0.21481472253799438,0.9,0,both
teacher,val,ge5,all,1.576167000749044,191366,52270,0.9453194402349425,0.9176829642246658,0.887657426906826,0.6402907977807538,0.8656979620630102,0.8599213399746568,0.6103883680887698,0.8330028819156464,0.0257983345978679,0.2062559276819229,0.08414186888180697,0.004226559931053104,0.002722821855983767,0.17702220380306244,0.9,0,both
teacher,val,ge5,near,1.576167000749044,191366,10483,0.9453194402349425,0.9176829642246658,0.8521246819293649,0.6738529047028522,0.832314680684246,0.8295941578742245,0.6431365067251741,0.8045328607421875,0.0257983345978679,0.2062559276819229,0.08414186888180697,0.004226559931053104,0.002722821855983767,0.17702220380306244,0.9,0,both
teacher,val,ge5,far,1.576167000749044,191366,41787,0.9453194402349425,0.9176829642246658,0.8965714376182611,0.6318711561011798,0.8740727422265437,0.8675294441687563,0.6021729245937731,0.840145084800787,0.0257983345978679,0.2062559276819229,0.08414186888180697,0.004226559931053104,0.002722821855983767,0.17702220380306244,0.9,0,both
student_both_direct,val,all,all,1.3955041315676617,200000,53779,0.872175,0.8180660153868297,0.8186983556778669,0.7862362632254226,0.7637321313151975,0.7872893158574907,0.7971698990312204,0.7273311857788356,0.04390806221678853,0.4617839753627777,0.18772617767567495,0.020210361361924188,0.004071411253958946,0.42605364322662354,0.9,0,both
