model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_msp,fpr95_msp,oscr_msp,auroc_energy,fpr95_energy,oscr_energy,ece,nll,brier,aurc,ece_ts,nll_ts,start,condition,seed,weeks_since
student_kdB4_s1,test_w44-47,ge5,all,1.935534693966454,94936,92436,0.8047105418387124,0.6845547540296221,0.7689050902016694,0.8015383616772686,0.6798421153628507,0.7716602306170243,0.7649508849366048,0.6703581839454024,0.13625875082998035,1.4707138538360596,0.32500031808880775,0.04491135637116752,0.06378786970490907,0.9039497375488281,11,kdB4,1,31.5
student_kdB4_s1,test_w44-47,ge5,near,1.935534693966454,94936,10310,0.8047105418387124,0.6845547540296221,0.7235452448765933,0.8258971871968962,0.6453960479128642,0.742403435584191,0.7735208535402521,0.6477406689499208,0.13625875082998035,1.4707138538360596,0.32500031808880775,0.04491135637116752,0.06378786970490907,0.9039497375488281,11,kdB4,1,31.5
student_kdB4_s1,test_w44-47,ge5,far,1.935534693966454,94936,82126,0.8047105418387124,0.6845547540296221,0.7745995110343112,0.7984803838005017,0.6841664335496533,0.7753330937394034,0.7638750213087208,0.6731975597777017,0.13625875082998035,1.4707138538360596,0.32500031808880775,0.04491135637116752,0.06378786970490907,0.9039497375488281,11,kdB4,1,31.5
student_kdB4_s1,test_w48-51,all,all,1.935534693966454,100000,100000,0.78475,0.6685803049517626,0.7693048327500001,0.80709,0.6663306425,0.7633671869,0.7572,0.6504881005999998,0.1542561703985929,1.708958625793457,0.36067965905780375,0.052948649180937175,0.07503052398033441,1.0388916730880737,11,kdB4,1,35.333333333333336
student_kdB4_s1,test_w48-51,all,near,1.935534693966454,100000,10972,0.78475,0.6685803049517626,0.7069924854174262,0.8314801312431644,0.6207089072183741,0.7207330322639446,0.77187386073642,0.6179118957345973,0.1542561703985929,1.708958625793457,0.36067965905780375,0.052948649180937175,0.07503052398033441,1.0388916730880737,11,kdB4,1,35.333333333333336
student_kdB4_s1,test_w48-51,all,far,1.935534693966454,100000,89028,0.78475,0.6685803049517626,0.7769843389158466,0.8040841083704003,0.6719531621512332,0.7686215107606595,0.7553915622051489,0.6545028613469919,0.1542561703985929,1.708958625793457,0.36067965905780375,0.052948649180937175,0.07503052398033441,1.0388916730880737,11,kdB4,1,35.333333333333336
student_kdB4_s1,test_w48-51,ge5,all,1.935534693966454,94668,93780,0.7961613216715258,0.6769432755817653,0.7704702331763181,0.8087332053742803,0.6759319259495529,0.7702913938259887,0.7482405630198337,0.6632482927641716,0.14490652666180262,1.5768402814865112,0.3404792422568542,0.04731753833242887,0.07138670387562904,0.960003674030304,11,kdB4,1,35.333333333333336
student_kdB4_s1,test_w48-51,ge5,near,1.935534693966454,94668,10675,0.7961613216715258,0.6769432755817653,0.7105388870895937,0.834192037470726,0.6314263133213779,0.7291497113194995,0.7575644028103045,0.6314662675694742,0.14490652666180262,1.5768402814865112,0.3404792422568542,0.04731753833242887,0.07138670387562904,0.960003674030304,11,kdB4,1,35.333333333333336
student_kdB4_s1,test_w48-51,ge5,far,1.935534693966454,94668,83105,0.7961613216715258,0.6769432755817653,0.7781685319486638,0.8054629685337825,0.6816487590499172,0.7755761235144163,0.7470428975392576,0.6673307561412656,0.14490652666180262,1.5768402814865112,0.3404792422568542,0.04731753833242887,0.07138670387562904,0.960003674030304,11,kdB4,1,35.333333333333336
student_direct_s2,val,all,all,1.0612094400075187,200000,53779,0.940525,0.9134666332484247,0.8597071484687332,0.7266219156176202,0.8415652012867475,0.8291296861693226,0.7415347998289296,0.8054739563770245,0.003049392746873215,0.21063955128192902,0.0843197093905805,0.004080568187823337,0.005355880394876007,0.2101140171289444,11,direct,2,1.0
student_direct_s2,val,all,near,1.0612094400075187,200000,10959,0.940525,0.9134666332484247,0.8343361100465371,0.7217811844146363,0.8162211497399396,0.7359677185418377,0.7956930376859203,0.7168445711287527,0.003049392746873215,0.21063955128192902,0.0843197093905805,0.004080568187823337,0.005355880394876007,0.2101140171289444,11,direct,2,1.0
student_direct_s2,val,all,far,1.0612094400075187,200000,42820,0.940525,0.9134666332484247,0.8662004041919664,0.7278608127043438,0.8480515502101822,0.8529727969406818,0.7276739841195703,0.8281570351471276,0.003049392746873215,0.21063955128192902,0.0843197093905805,0.004080568187823337,0.005355880394876007,0.2101140171289444,11,direct,2,1.0
student_direct_s2,val,ge5,all,1.0612094400075187,191366,52270,0.9496566788248696,0.9246174086208739,0.8724760852639398,0.6894203175817869,0.8567405729925649,0.8449996728983442,0.6857088195905874,0.8235532981781215,0.002639738487555802,0.17488276958465576,0.07189258570008829,0.003091633575414821,0.005016309517610262,0.17445623874664307,11,direct,2,1.0
student_direct_s2,val,ge5,near,1.0612094400075187,191366,10483,0.9496566788248696,0.9246174086208739,0.8437162967788174,0.6875894305065344,0.8281872347988206,0.747807381779102,0.7496899742440141,0.7304169439818561,0.002639738487555802,0.17488276958465576,0.07189258570008829,0.003091633575414821,0.005016309517610262,0.17445623874664307,11,direct,2,1.0
student_direct_s2,val,ge5,far,1.0612094400075187,191366,41787,0.9496566788248696,0.9246174086208739,0.8796909813485962,0.689879627635389,0.8639036774098484,0.8693820594731885,0.6696580276162443,0.8469181820185371,0.002639738487555802,0.17488276958465576,0.07189258570008829,0.003091633575414821,0.005016309517610262,0.17445623874664307,11,direct,2,1.0
student_directTS_s2,val,all,all,,200000,53779,0.940525,0.9134666332484247,0.8598004952211828,0.7255620223507318,0.8416642590044441,0.8286608496811023,0.7411629074545827,0.8049254216329793,0.005355880394876007,0.2101140171289444,0.0843815692636936,0.004077379421431305,,,11,directTS,2,1.0
student_directTS_s2,val,all,near,,200000,10959,0.940525,0.9134666332484247,0.8342110071630623,0.720959941600511,0.8161262396204033,0.7350967031663473,0.7961492836937677,0.7159340834017702,0.005355880394876007,0.2101140171289444,0.0843815692636936,0.004077379421431305,,,11,directTS,2,1.0
student_directTS_s2,val,all,far,,200000,42820,0.940525,0.9134666332484247,0.8663496591546007,0.7267398411957029,0.8482002504670716,0.8526068908220459,0.7270901447921532,0.8277011356842596,0.005355880394876007,0.2101140171289444,0.0843815692636936,0.004077379421431305,,,11,directTS,2,1.0
student_directTS_s2,val,ge5,all,,191366,52270,0.9496566788248696,0.9246174086208739,0.8727763081791344,0.6861871054141955,0.8569961011790014,0.8445301526573099,0.6866462598048594,0.8230211639979852,0.005016309517610262,0.17445623874664307,0.07193874107760155,0.0030884855294618014,,,11,directTS,2,1.0
student_directTS_s2,val,ge5,near,,191366,10483,0.9496566788248696,0.9246174086208739,0.8438192537861584,0.6857769722407707,0.828259178239031,0.7469650416114129,0.7500715444052275,0.7295417578265533,0.005016309517610262,0.17445623874664307,0.07193874107760155,0.0030884855294618014,,,11,directTS,2,1.0
student_directTS_s2,val,ge5,far,,191366,41787,0.9496566788248696,0.9246174086208739,0.8800406918678788,0.6862899944958959,0.864205261041631,0.869006067633119,0.6707349175580922,0.8464721084279542,0.005016309517610262,0.17445623874664307,0.07193874107760155,0.0030884855294618014,,,11,directTS,2,1.0
student_direct_s2,test_w16-19,all,all,1.0612094400075187,100000,100000,0.93203,0.9018638085179139,0.8772103779999999,0.62124,0.8484612761000001,0.8517048145,0.63756,0.8187388994999999,0.004908331520259374,0.2906632721424103,0.09808674413561552,0.00562797747015504,0.003394722906798082,0.2860555946826935,11,direct,2,3.5
student_direct_s2,test_w16-19,all,near,1.0612094400075187,100000,11980,0.93203,0.9018638085179139,0.8665385726210351,0.6484974958263773,0.8400238864774624,0.8634424207011686,0.6565943238731219,0.8308666185308848,0.004908331520259374,0.2906632721424103,0.09808674413561552,0.00562797747015504,0.003394722906798082,0.2860555946826935,11,direct,2,3.5
student_direct_s2,test_w16-19,all,far,1.0612094400075187,100000,88020,0.93203,0.9018638085179139,0.8786628686662121,0.6175301067939105,0.8496096506475802,0.8501072625539651,0.6349693251533742,0.8170882510792999,0.004908331520259374,0.2906632721424103,0.09808674413561552,0.00562797747015504,0.003394722906798082,0.2860555946826935,11,direct,2,3.5
student_direct_s2,test_w16-19,ge5,all,1.0612094400075187,96085,89545,0.9401675599729407,0.9101062382798605,0.8794190875297345,0.6198224356468814,0.8550791620829215,0.85664241857486,0.6108883801440617,0.8271396945395773,0.0042966454779964705,0.2603425681591034,0.08712565714030769,0.0045769293011593245,0.0027451223045976527,0.2558441162109375,11,direct,2,3.5
student_direct_s2,test_w16-19,ge5,near,1.0612094400075187,96085,11402,0.9401675599729407,0.9101062382798605,0.8742154894920199,0.6315558673916857,0.8508015759631203,0.8737388196224588,0.6108577442553937,0.8441703314475812,0.0042966454779964705,0.2603425681591034,0.08712565714030769,0.0045769293011593245,0.0027451223045976527,0.2558441162109375,11,direct,2,3.5
student_direct_s2,test_w16-19,ge5,far,1.0612094400075187,96085,78143,0.9401675599729407,0.9101062382798605,0.8801783548323211,0.6181103873667507,0.8557033131513213,0.8541478488150003,0.6108928502872938,0.8246547205556624,0.0042966454779964705,0.2603425681591034,0.08712565714030769,0.0045769293011593245,0.0027451223045976527,0.2558441162109375,11,direct,2,3.5
