model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_maha,fpr95_maha,oscr_maha,auroc_knnfeat,fpr95_knnfeat,oscr_knnfeat,ece,nll,brier,aurc,start,weeks_since
student_direct_s0,test_w37-40,ge5,far,,95295,80509,0.90128548192455,0.8380758526958899,0.7270531470576539,0.8896520885863692,0.6707529700171322,0.7766898401563944,0.7641009079730217,0.7201033114619764,0.03453702972858344,0.427541047334671,0.14684096391931073,0.012173494139155711,24,11.5
student_direct_s0,test_w41-44,all,all,,100000,100000,0.88847,0.8255452158208876,0.7245486646000001,0.88263,0.6577065364000001,0.76467970785,0.77183,0.6988527296,0.03772850635856387,0.5257874727249146,0.16798914173784069,0.0163943460707396,24,15.5
student_direct_s0,test_w41-44,all,near,,100000,11009,0.88847,0.8255452158208876,0.7667932932146426,0.8077936233990372,0.6936117903533472,0.8280300803887728,0.7402125533654282,0.7541056917067853,0.03772850635856387,0.5257874727249146,0.16798914173784069,0.0163943460707396,24,15.5
student_direct_s0,test_w41-44,all,far,,100000,88991,0.88847,0.8255452158208876,0.719322617961367,0.8918879437246463,0.6532647283433156,0.7568426877998898,0.7757413671045387,0.6920174332235843,0.03772850635856387,0.5257874727249146,0.16798914173784069,0.0163943460707396,24,15.5
student_direct_s0,test_w41-44,ge5,all,,95403,93678,0.8935777700910873,0.8306509147181461,0.7283536809073439,0.8807617583637567,0.6661476933193603,0.7744868162589069,0.7669036486688443,0.7127605238904741,0.040109866947370176,0.5024804472923279,0.1602199621199044,0.01487524579277016,24,15.5
student_direct_s0,test_w41-44,ge5,near,,95403,10688,0.8935777700910873,0.8306509147181461,0.7682087958057658,0.8100673652694611,0.6998973726001662,0.8343609460036564,0.7454154191616766,0.7653882619889619,0.040109866947370176,0.5024804472923279,0.1602199621199044,0.01487524579277016,24,15.5
student_direct_s0,test_w41-44,ge5,far,,95403,82990,0.8935777700910873,0.8306509147181461,0.7232208761352709,0.8898662489456561,0.6618011868468543,0.7667758306135053,0.7696710447041812,0.7059827763932258,0.040109866947370176,0.5024804472923279,0.1602199621199044,0.01487524579277016,24,15.5
student_direct_s0,test_w45-48,all,all,,100000,100000,0.86017,0.7874782412538596,0.6999820111,0.89308,0.6196048770999999,0.7363215031500001,0.81635,0.6577622669999998,0.05593896776422859,0.719115138053894,0.21080810935624758,0.02382896470397369,24,19.5
student_direct_s0,test_w45-48,all,near,,100000,10212,0.86017,0.7874782412538596,0.7595099711124167,0.8066000783392088,0.6679830366235802,0.8086446719545632,0.7853505679592636,0.7187284802193499,0.05593896776422859,0.719115138053894,0.21080810935624758,0.02382896470397369,24,19.5
student_direct_s0,test_w45-48,all,far,,100000,89788,0.86017,0.7874782412538596,0.6932116238806968,0.902915757116764,0.6141026076981334,0.7280958582995501,0.819875707221455,0.6508283006637858,0.05593896776422859,0.719115138053894,0.21080810935624758,0.02382896470397369,24,19.5
