start,split,weeks_since,score,ensemble,member_mean,member_spread,teacherA_0,teacherA_1,teacherA_2,teacherA_3,teacherA_4
24,test_w45-48,19.5,maha,0.74811387985,0.73722376295,0.010219495450000005,0.7395752346,0.7430083908,0.73278889535,0.737873026,0.732873268
24,test_w45-48,19.5,knnfeat,0.7766710781,0.7696988426900001,0.009519186849999972,0.77097843025,0.77480442065,0.7704544126,0.76697171615,0.7652852338
24,test_w49-51,23.0,energy,0.81647238425,0.8043082316,0.011097212399999945,0.80990167875,0.80540196105,0.80811765605,0.79880446635,0.7993153958
24,test_w49-51,23.0,msp,0.84640862365,0.82708404746,0.00690324040000001,0.8309878812,0.82551423035,0.82723584685,0.8240846408,0.8275976381
24,test_w49-51,23.0,maha,0.7430183852,0.73275983858,0.015117624750000003,0.7348428128,0.74155999005,0.7264423653,0.7329482618,0.72800576295
24,test_w49-51,23.0,knnfeat,0.77183141975,0.76509533006,0.012797135500000056,0.766117786,0.7728425203,0.7649500723,0.7615208869,0.7600453848
37,test_w42-45,3.5,energy,0.87181626905,0.85949972168,0.006448626899999921,0.85630885705,0.85856169045,0.86275748395,0.8572153732,0.86265520375
37,test_w42-45,3.5,msp,0.9081538895,0.8873856242399999,0.004424808899999966,0.88836029835,0.8841935573,0.88734135705,0.8886183662,0.8884145423
37,test_w42-45,3.5,maha,0.8190705892,0.8075177949700001,0.006068935100000061,0.8073355816,0.80770712925,0.8060269263,0.8052252013,0.8112941364
37,test_w42-45,3.5,knnfeat,0.83918389315,0.83375134746,0.005049126150000083,0.8342960997,0.8334382396,0.83434360235,0.83081483475,0.8358639609
37,test_w46-49,7.5,energy,0.8525760366,0.8399763434,0.007356317950000024,0.83673117945,0.83925740285,0.8440874974,0.83860523265,0.84120040465
37,test_w46-49,7.5,msp,0.88725656985,0.86708594821,0.0058229735500000546,0.8687489811,0.86297788135,0.8667902961,0.8688008549,0.8681117276
37,test_w46-49,7.5,maha,0.7941218381,0.78248795924,0.011718408350000042,0.78152007745,0.78320133625,0.7775919911,0.78081599195,0.78931039945
37,test_w46-49,7.5,knnfeat,0.81256403225,0.80663448048,0.00934978640000006,0.8075757846,0.80733081155,0.80637619855,0.80126991065,0.81061969705
37,test_w51-51,11.0,energy,0.8280194906950595,0.8177832918837055,0.011319611624865167,0.8148725793386723,0.8235863612060855,0.8232380815300948,0.8149526877624544,0.8122667495812204
37,test_w51-51,11.0,msp,0.8710286888180087,0.8554354095321142,0.004347541820601708,0.854823011886459,0.8539576775511141,0.8561128627320499,0.8583052193717158,0.8539782761192317
37,test_w51-51,11.0,maha,0.7914398732187522,0.7818110582161133,0.016928855870947057,0.7777922623281855,0.7827408813878244,0.7750337328759265,0.7815258257417563,0.7919625887468735
37,test_w51-51,11.0,knnfeat,0.8067442975974667,0.8015838112623053,0.011429900296014095,0.7995510537185342,0.8003643502604465,0.8001431382087703,0.7982153069138805,0.8096452072098946
